"Week","Rank","Team","No. 1 Votes","Record","Conference","PV.Rank","Points"
"Final",1,"Clemson",60,"14-1","ACC","3",1500
"Final",2,"Alabama",,"14-1","SEC","1",1440
"Final",3,"USC",,"10-3","Pac-12","9",1292
"Final",4,"Washington",,"12-2","Pac-12","4",1277
"Final",5,"Oklahoma",,"11-2","Big 12","7",1252
"Final",6,"Ohio State",,"11-2","Big Ten","2",1240
"Final",7,"Penn State",,"11-3","Big Ten","5",1130
"Final",8,"Florida State",,"10-3","ACC","10",1105
"Final",9,"Wisconsin",,"11-3","Big Ten","8",1032
"Final",10,"Michigan",,"10-3","Big Ten","6",1001
"Final",11,"Oklahoma State",,"10-3","Big 12","13",920
"Final",12,"Stanford",,"10-3","Pac-12","16",730
"Final",13,"LSU",,"8-4","SEC","19",651
"Final",14,"Florida",,"9-4","SEC","20",640
"Final",15,"Western Michigan",,"13-1","Mid-American","12",619
"Final",16,"Virginia Tech",,"10-4","ACC","18",610
"Final",17,"Colorado",,"10-4","Pac-12","11",585
"Final",18,"West Virginia",,"10-3","Big 12","14",368
"Final",19,"South Florida",,"11-2","The American","25",358
"Final",20,"Miami (FL)",,"9-4","ACC","-",338
"Final",21,"Louisville",,"9-4","ACC","15",277
"Final",22,"Tennessee",,"9-4","SEC","-",253
"Final",23,"Utah",,"9-4","Pac-12","-",222
"Final",24,"Auburn",,"8-5","SEC","17",206
"Final",25,"San Diego State",,"11-3","Mountain West","-",113
