"Rank","Team","Record","Points","PV.Rank","Voter","Week"
1,"Alabama","10-0",1525,"1","ap","Week 12"
2,"Ohio State","9-1",1455,"6","ap","Week 12"
3,"Louisville","9-1",1357,"5","ap","Week 12"
4,"Michigan","9-1",1323,"2","ap","Week 12"
5,"Clemson","9-1",1304,"3","ap","Week 12"
6,"Wisconsin","8-2",1214,"7","ap","Week 12"
7,"Washington","9-1",1150,"4","ap","Week 12"
8,"Oklahoma","8-2",1064,"9","ap","Week 12"
9,"Penn State","8-2",961,"12","ap","Week 12"
10,"West Virginia","8-1",920,"11","ap","Week 12"
11,"Utah","8-2",807,"13","ap","Week 12"
12,"Colorado","8-2",797,"16","ap","Week 12"
13,"Oklahoma State","8-2",659,"17","ap","Week 12"
14,"Western Michigan","10-0",634,"14","ap","Week 12"
15,"USC","7-3",584,"-","ap","Week 12"
16,"LSU","6-3",582,"19","ap","Week 12"
17,"Florida State","7-3",569,"20","ap","Week 12"
18,"Auburn","7-3",543,"8","ap","Week 12"
19,"Nebraska","8-2",504,"21","ap","Week 12"
20,"Washington State","8-2",501,"23","ap","Week 12"
21,"Florida","7-2",435,"22","ap","Week 12"
22,"Boise State","9-1",315,"24","ap","Week 12"
23,"Texas A&M","7-3",238,"10","ap","Week 12"
24,"San Diego State","9-1",97,"-","ap","Week 12"
25,"Troy","8-1",63,"-","ap","Week 12"
1,"Alabama","10-0",1525,"1","adam-jude","Week 12"
2,"Ohio State","9-1",1455,"6","adam-jude","Week 12"
3,"Clemson","9-1",1304,"3","adam-jude","Week 12"
4,"Louisville","9-1",1357,"5","adam-jude","Week 12"
5,"Michigan","9-1",1323,"2","adam-jude","Week 12"
6,"Washington","9-1",1150,"4","adam-jude","Week 12"
7,"Wisconsin","8-2",1214,"7","adam-jude","Week 12"
8,"Oklahoma","8-2",1064,"9","adam-jude","Week 12"
9,"Utah","8-2",807,"13","adam-jude","Week 12"
10,"Colorado","8-2",797,"16","adam-jude","Week 12"
11,"West Virginia","8-1",920,"11","adam-jude","Week 12"
12,"Washington State","8-2",501,"23","adam-jude","Week 12"
13,"Penn State","8-2",961,"12","adam-jude","Week 12"
14,"USC","7-3",584,"-","adam-jude","Week 12"
15,"Nebraska","8-2",504,"21","adam-jude","Week 12"
16,"Florida","7-2",435,"22","adam-jude","Week 12"
17,"Auburn","7-3",543,"8","adam-jude","Week 12"
18,"Florida State","7-3",569,"20","adam-jude","Week 12"
19,"LSU","6-3",582,"19","adam-jude","Week 12"
20,"Oklahoma State","8-2",659,"17","adam-jude","Week 12"
21,"Western Michigan","10-0",634,"14","adam-jude","Week 12"
22,"Boise State","9-1",315,"24","adam-jude","Week 12"
23,"Texas A&M","7-3",238,"10","adam-jude","Week 12"
24,"San Diego State","9-1",97,"-","adam-jude","Week 12"
25,"Troy","8-1",63,"-","adam-jude","Week 12"
1,"Alabama","10-0",1525,"1","adam-zucker","Week 12"
2,"Ohio State","9-1",1455,"6","adam-zucker","Week 12"
3,"Michigan","9-1",1323,"2","adam-zucker","Week 12"
4,"Clemson","9-1",1304,"3","adam-zucker","Week 12"
5,"Louisville","9-1",1357,"5","adam-zucker","Week 12"
6,"Washington","9-1",1150,"4","adam-zucker","Week 12"
