"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","gary-horowitz","gary-smits","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","ngozi-ekeledo","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","14-1",1469,"Pre-Season",1,3,2,1,1,3,2,1,2,1,1,1,2,1,2,1,2,1,1,2,5,1,1,1,3,2,1,2,4,1,2,5,4,2,1,5,1,1,1,1,4,1,1,3,1,1,5,1,1,1,2,4,1,1,3,5,1,2,2,1,1,1
"Clemson","14-1",1443,"Pre-Season",2,2,1,2,2,2,1,4,1,2,3,2,1,2,3,5,1,2,3,1,1,5,2,2,4,1,2,1,1,2,1,1,5,3,2,1,2,2,2,2,1,2,2,1,2,7,2,2,2,2,5,1,2,2,5,7,2,3,3,2,2,4
"Oklahoma","11-2",1352,"Pre-Season",3,1,4,3,5,1,3,3,3,3,4,3,4,4,5,3,4,3,4,3,2,3,5,3,2,3,4,4,2,4,4,3,11,4,4,4,3,4,4,4,2,4,6,6,8,10,1,5,3,4,4,5,6,3,4,2,4,4,1,4,3,5
"Florida State","10-3",1325,"Pre-Season",4,6,5,5,3,8,5,2,4,4,2,4,5,6,1,6,7,5,5,5,4,2,3,4,1,4,3,5,5,3,3,4,3,1,3,2,4,3,5,5,5,6,3,5,4,6,8,4,4,3,1,6,4,15,1,3,3,6,8,5,4,2
"LSU","9-3",1269,"Pre-Season",5,4,6,4,4,4,4,5,5,7,5,7,8,7,4,2,3,6,2,6,3,7,6,6,5,5,5,11,3,5,5,2,2,6,6,3,7,6,3,7,3,5,5,4,3,5,7,6,7,7,7,3,8,16,2,1,5,7,4,7,6,3
"Ohio State","12-1",1224,"Pre-Season",6,5,3,6,6,5,9,7,6,6,7,6,3,5,7,7,5,7,6,4,12,4,4,7,8,8,6,3,6,6,8,9,1,7,5,11,6,5,6,8,8,11,9,7,6,3,6,3,5,5,3,2,3,4,8,9,6,5,5,3,5,6
"Michigan","10-3",1147,"Pre-Season",7,7,7,7,7,6,8,12,8,9,6,5,6,3,6,11,10,4,7,7,7,6,8,5,11,7,9,6,9,9,9,7,8,5,7,14,8,9,9,3,10,3,4,9,7,9,3,7,6,6,11,7,5,8,7,6,8,1,7,6,7,10
"Stanford","12-2",1029,"Pre-Season",8,8,8,8,11,7,12,6,10,8,11,8,7,9,9,13,6,9,11,10,6,12,7,8,6,6,10,8,18,8,7,6,13,9,9,16,5,7,7,6,6,7,7,11,10,4,12,12,9,8,10,9,9,5,9,,10,16,6,10,8,8
"Tennessee","9-4",1021,"Pre-Season",9,12,11,9,8,11,6,10,9,12,10,10,14,10,10,4,13,8,10,8,8,10,12,11,10,9,8,9,8,7,11,14,7,10,8,6,10,13,13,9,7,10,8,2,5,13,4,8,8,10,9,8,10,23,6,4,7,8,9,9,12,7
"Notre Dame","10-3",1006,"Pre-Season",10,11,9,10,9,10,10,8,7,5,9,9,9,8,11,10,9,11,14,9,9,9,9,12,7,11,12,7,13,11,6,8,6,11,10,10,9,12,8,10,9,9,10,10,16,2,9,10,10,11,6,10,7,12,14,13,9,9,10,8,9,9
"Mississippi","10-3",718,"Pre-Season",11,19,10,12,15,15,19,11,12,11,22,12,10,11,22,9,18,12,8,13,14,11,10,15,19,15,16,14,17,16,15,11,,14,11,24,13,10,16,13,13,14,11,12,,20,10,20,13,9,16,16,11,10,18,17,13,11,12,11,13,11
"Michigan State","12-2",710,"Pre-Season",12,10,14,11,16,9,15,19,14,14,13,15,12,14,17,15,14,13,12,12,15,13,11,13,13,16,19,12,19,17,12,10,19,16,14,,12,8,11,11,15,16,,14,13,15,21,15,15,15,12,13,14,7,15,,15,10,13,12,14,14
"TCU","11-2",707,"Pre-Season",13,9,,13,10,19,7,15,11,10,8,19,11,18,8,8,16,24,9,15,18,8,17,10,24,10,7,20,7,12,13,,9,8,16,9,15,19,17,20,25,8,,22,9,,14,9,,13,13,12,12,6,13,16,16,13,17,13,10,19
"Washington","7-6",651,"Pre-Season",14,22,13,23,19,13,11,9,15,18,19,20,17,19,14,14,15,22,21,17,13,15,23,14,17,12,13,15,12,10,14,15,10,13,13,7,22,,12,18,14,17,16,16,11,19,16,19,11,16,8,18,13,,11,8,11,17,11,14,15,13
"Houston","13-1",644,"Pre-Season",15,17,20,16,14,12,17,16,18,15,12,14,15,12,12,,11,17,15,11,10,14,21,21,21,13,20,10,11,18,10,18,12,12,15,12,17,14,18,12,11,12,15,19,23,,13,13,16,12,18,11,21,11,12,20,12,12,14,17,24,21
"UCLA","8-5",496,"Pre-Season",16,14,12,25,17,16,13,17,13,13,18,21,21,16,23,19,12,20,13,16,21,16,25,17,,18,14,13,15,15,17,22,17,19,21,15,24,,15,21,19,22,17,8,12,,20,11,17,14,15,,15,,20,12,24,21,21,15,16,17
"Iowa","12-2",484,"Pre-Season",17,15,22,17,13,20,14,,22,19,14,23,13,15,15,,,18,20,18,11,24,15,,,24,15,17,23,13,22,21,16,21,17,8,18,11,10,15,16,23,18,25,22,22,11,14,19,21,14,15,19,9,16,10,18,14,19,19,,23
"Georgia","10-3",448,"Pre-Season",18,21,17,21,,14,23,21,21,21,20,16,19,13,,23,8,14,16,14,17,18,13,19,9,23,25,,14,20,21,19,,18,20,17,14,22,,16,12,13,14,,18,14,22,18,12,17,24,14,,,19,,17,15,16,16,20,16
"Louisville","8-5",447,"Pre-Season",19,,23,24,12,17,16,14,23,16,16,24,,22,13,,17,21,17,21,19,17,22,9,22,20,11,19,10,14,16,20,15,17,18,21,25,,14,25,17,24,19,13,21,17,17,16,18,22,19,19,16,,10,14,14,22,22,18,19,22
"USC","8-6",344,"Pre-Season",20,,19,22,21,22,18,20,19,23,,11,16,21,16,16,19,15,,23,16,22,24,20,12,19,,,,,18,12,21,,23,,21,,20,19,18,18,12,18,20,8,,,14,18,23,17,20,,,25,21,24,15,24,23,12
"Oklahoma State","10-3",316,"Pre-Season",21,,15,15,20,23,25,18,25,20,15,13,25,17,21,24,21,16,23,,20,25,14,24,14,17,23,22,24,,24,13,18,25,19,23,11,23,21,22,23,15,13,20,24,24,23,22,,23,,22,24,17,25,19,20,18,25,23,22,20
"North Carolina","11-3",283,"Pre-Season",22,,21,14,24,25,,13,24,22,17,22,24,20,25,21,,23,22,24,22,20,16,,15,,22,16,,23,20,23,,15,22,25,16,16,19,23,20,19,20,24,17,25,19,23,24,19,,24,25,14,23,21,19,19,23,20,18,25
"Baylor","10-3",280,"Pre-Season",23,13,18,19,,21,22,,16,24,21,17,20,25,,12,,10,,22,24,19,18,16,18,21,,,,,25,,,,12,19,20,20,,14,22,,25,,,,15,,21,,20,20,17,13,,,22,,20,21,17,15
"Oregon","9-4",218,"Pre-Season",24,24,24,18,,24,,22,,,,18,,23,,,,19,18,19,,21,19,,20,22,,21,22,24,23,17,20,24,24,18,,18,,17,21,20,21,21,19,,18,,22,20,25,23,23,20,24,,,20,18,22,,18
"Florida","10-4",180,"Pre-Season",25,23,16,20,23,18,24,,,,,,23,,19,17,,,24,,,23,,,,25,24,18,20,,19,,,22,,,19,15,,,,25,22,23,15,12,25,21,,,,,18,21,21,,25,23,24,,11,
"Miami","8-5",159,"Pre-Season",,,,,22,,21,24,17,,,25,18,,,20,20,,,,23,,20,25,25,14,,23,21,19,,,14,,,20,,,,,,,,17,,16,,,20,,22,25,,,17,11,,,,25,21,24
"Texas A&M","8-5",81,"Pre-Season",,,,,18,,,,,,23,,,,18,18,,,19,,,,,18,16,,21,,,,,,25,20,,,,24,24,,,21,,,25,23,,25,23,,,,,,,,,,,,,
"Utah","10-3",74,"Pre-Season",,16,,,25,,20,,,17,24,,,,20,,22,,25,,,,,,,,18,,,,,,,23,,,,25,,24,,,,,,21,,17,,,,,,19,,,,,,,,
"Washington State","9-4",68,"Pre-Season",,20,,,,,,,,,25,,,24,24,,,,,,,,,23,,,17,,16,21,,,24,,,,,,23,,,,,15,,,24,24,25,25,,,,,22,22,,,,,,
"Boise State","9-4",49,"Pre-Season",,,,,,,,,,,,,,,,,23,,,25,,,,,,,,25,25,,,16,,,,13,,,22,,,,24,,,,,,,,17,21,,,,,,,,,,
"San Diego State","11-3",46,"Pre-Season",,18,25,,,,,23,20,25,,,,,,25,,25,,20,,,,,,,,,,,,,23,,25,22,,,,,,,,,,,,,,,,,,,,15,,,,,,
"Wisconsin","10-3",42,"Pre-Season",,,,,,,,,,,,,22,,,,,,,,,,,,23,,,,,,,24,,,,,,17,,,,,,,14,18,,,,,,,,22,,,,,,,,
"Auburn","7-6",22,"Pre-Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,22,,,23,,,,,,
"Pittsburgh","8-5",15,"Pre-Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,25,,24,,,,,,,,,,,,,,,18,23,,,,,
"Arkansas","8-5",14,"Pre-Season",,,,,,,,,,,,,,,,22,,,,,25,,,,,,,24,,,,,,,,,23,,,,,,,,,,,,,24,,,,,,,,25,,,25,
"Texas","5-7",12,"Pre-Season",,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,22,,25,22,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
"Nebraska","6-7",11,"Pre-Season",,25,,,,,,,,,,,,,,,25,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,
"Navy","11-2",8,"Pre-Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
"Northwestern","10-3",5,"Pre-Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
"Western Kentucky","12-2",4,"Pre-Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,25,,,,,,,,
"South Florida","8-5",2,"Pre-Season",,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toledo","10-2",2,"Pre-Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
