"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","12-0",1525,"Week 14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ohio State","11-1",1456,"Week 14",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,5,2
"Clemson","11-1",1383,"Week 14",3,3,3,7,3,3,3,3,3,3,3,3,3,3,5,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,7,3,7,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,2,3,8,3,3,3,3,2,3
"Washington","11-1",1298,"Week 14",4,4,4,6,4,4,4,4,4,4,4,4,4,5,6,4,6,4,8,8,5,6,6,8,4,4,4,4,5,6,4,3,5,6,4,5,5,4,4,5,4,5,4,4,4,6,4,4,3,7,4,4,4,7,5,3,5,7,4,4,4,4
"Michigan","10-2",1264,"Week 14",5,5,5,4,5,5,5,5,5,5,7,5,6,4,3,5,3,5,5,5,4,7,4,4,5,5,9,5,7,4,6,7,3,9,5,9,6,5,5,7,5,4,5,5,5,4,6,5,5,4,6,5,5,8,6,5,7,4,7,5,3,5
"Wisconsin","10-2",1237,"Week 14",6,6,6,5,7,6,6,6,6,6,5,6,7,7,4,7,4,6,6,6,7,4,5,5,6,6,5,8,4,5,5,5,6,2,6,4,4,6,7,4,6,6,7,6,6,5,7,6,6,9,5,7,6,6,4,6,4,6,6,7,6,6
"Oklahoma","9-2",1141,"Week 14",7,9,8,3,9,7,8,8,8,7,6,7,5,6,7,8,10,7,9,4,8,9,9,7,7,7,8,7,6,7,7,8,10,8,10,6,7,8,6,6,9,8,9,7,7,9,5,10,7,10,7,6,7,5,7,9,6,5,5,6,7,7
"Penn State","10-2",1118,"Week 14",8,8,7,12,6,9,7,7,7,8,10,8,8,8,8,9,7,8,7,7,6,5,7,10,8,8,6,6,8,8,8,6,8,3,7,3,8,9,8,10,8,7,6,9,9,7,8,7,9,6,8,8,10,4,10,10,8,8,9,8,8,8
"Colorado","10-2",1035,"Week 14",9,7,10,14,8,11,10,9,9,9,8,9,9,9,9,11,9,9,10,10,9,8,8,9,10,9,7,10,10,10,9,9,7,10,9,10,9,7,10,11,7,9,8,8,8,8,9,8,8,8,9,9,9,9,8,7,11,12,8,9,9,9
"USC","9-3",948,"Week 14",10,10,9,13,11,12,9,11,11,13,11,11,11,10,12,6,8,11,4,14,10,10,12,6,11,12,11,9,9,11,11,11,9,5,12,8,10,11,12,13,13,11,12,12,11,10,11,9,10,5,11,11,11,11,11,4,12,13,14,14,11,11
"Oklahoma State","9-2",931,"Week 14",11,11,11,8,10,8,11,10,10,12,9,10,10,13,10,12,13,10,12,12,13,11,11,14,9,10,10,11,12,12,10,10,13,14,11,12,11,12,11,8,10,10,10,10,10,11,10,11,11,11,13,10,8,10,12,11,9,11,10,10,10,10
"Florida State","9-3",847,"Week 14",12,13,12,9,13,13,13,13,13,10,14,12,12,12,15,10,11,12,13,11,12,13,13,11,12,14,12,12,11,9,12,12,11,11,13,13,14,10,13,9,12,12,13,11,13,15,13,12,13,12,12,12,12,13,9,13,14,10,13,13,12,12
"Western Michigan","12-0",807,"Week 14",13,12,16,10,16,10,12,12,12,11,12,13,13,11,11,20,12,13,11,9,11,12,10,12,16,11,14,18,13,14,13,15,16,19,8,11,18,13,9,12,14,13,11,14,14,12,12,15,14,13,10,16,13,12,13,14,10,9,11,11,14,13
"West Virginia","9-2",726,"Week 14",14,14,13,17,15,14,14,14,14,14,13,14,14,14,13,15,18,14,14,13,14,14,16,13,14,13,13,14,14,13,14,14,,12,14,15,12,14,14,14,11,14,14,13,12,16,14,13,17,15,14,13,14,14,15,15,13,14,12,12,13,14
"Florida","8-3",471,"Week 14",15,18,14,15,21,16,21,19,19,17,19,19,15,18,20,14,,20,17,18,,20,14,16,17,15,22,19,17,15,19,20,15,18,15,22,16,20,22,15,24,15,18,16,15,23,15,19,16,22,23,15,19,25,23,24,15,16,17,15,15,16
"Louisville","9-3",468,"Week 14",16,23,17,20,12,20,20,17,18,15,15,15,16,24,14,18,16,15,19,20,19,15,18,25,13,16,21,20,24,17,18,18,12,,21,17,20,21,19,22,16,22,17,18,22,13,16,24,12,18,20,14,17,19,24,21,22,17,16,19,20,15
"Stanford","9-3",452,"Week 14",17,19,,18,14,22,25,15,16,16,16,17,17,19,19,23,14,19,16,,16,,19,22,15,22,18,16,20,20,22,16,21,13,,19,15,16,17,16,15,20,24,19,17,21,19,14,15,17,19,23,18,21,16,12,18,22,15,22,18,17
"Auburn","8-4",423,"Week 14",18,15,18,16,19,24,,16,15,18,21,20,18,17,16,17,21,23,15,19,22,19,17,15,18,19,20,17,22,16,15,19,14,17,19,25,17,22,20,,19,16,15,20,24,14,17,,19,16,21,25,20,,20,18,21,15,22,20,17,19
"Virginia Tech","9-3",420,"Week 14",19,20,23,21,17,21,16,22,17,23,17,16,19,23,18,,15,17,23,15,15,16,20,24,23,17,16,15,19,23,23,17,24,,16,18,13,15,15,18,18,17,20,25,16,22,21,17,18,20,17,17,15,22,14,22,16,18,19,,,18
"Navy","9-2",387,"Week 14",20,17,15,22,23,17,18,21,22,19,18,18,21,15,21,25,20,18,20,17,18,17,,18,22,18,15,21,16,21,17,21,20,23,22,24,19,18,18,25,17,19,21,22,18,24,22,16,23,21,16,19,16,15,17,23,20,20,18,,16,24
"LSU","7-4",338,"Week 14",21,25,19,11,,25,22,25,21,21,20,21,22,20,,13,19,16,18,21,21,,15,20,19,20,17,13,23,24,16,13,18,20,20,,24,19,24,17,25,18,19,21,23,25,18,20,,23,15,18,21,,21,20,17,23,23,21,19,20
"Iowa","8-4",217,"Week 14",22,21,21,19,,,23,,23,20,23,24,,21,,22,24,24,21,25,17,,22,17,,,23,24,15,,20,23,19,15,17,16,,17,16,20,20,24,23,,,,,25,25,24,,21,,16,22,19,,,20,,23,21
"Nebraska","9-3",181,"Week 14",23,,24,,,15,24,20,,25,,22,23,,23,16,,21,22,,,25,24,,,24,19,,,22,24,25,22,24,18,,,,,24,21,25,16,17,,17,24,21,,,25,20,23,17,19,25,19,21,24,16,24,25
"Pittsburgh","8-4",168,"Week 14",24,22,25,23,22,,,23,25,,22,,,16,,21,17,,24,24,20,22,21,,25,,25,22,25,,21,24,25,,,14,22,23,23,,23,23,,,,,25,,24,14,18,24,22,,18,16,23,24,21,25,,22
"South Florida","10-2",168,"Week 14",24,16,22,24,,18,17,18,20,,24,25,20,25,17,24,23,22,25,16,,21,23,,,23,24,25,21,,25,,,,24,23,23,24,,23,,,25,23,19,,20,18,22,19,24,22,24,,25,,,,25,,,23
"Houston","9-3",98,"Week 14",,,20,,24,19,19,,24,22,,,,22,22,,25,25,,,25,24,,,24,,,,18,,,,17,,,,25,,25,21,,21,,,21,,,23,20,,,,25,18,,,,,,23,,
"Boise State","10-2",92,"Week 14",,,,,,23,15,,,,25,,24,,24,,,,,22,24,23,,23,,,,,,,,22,,,,21,,,21,,,,22,15,25,20,23,22,,,22,,,24,,,24,25,,17,,
"Utah","8-4",88,"Week 14",,24,,,25,,,,,24,,23,,,25,,22,,,,,18,,19,21,25,,23,,18,,,,21,,,21,,,,22,,,,,18,,,,,,,,,,17,,,,18,22,
"Washington State","8-4",35,"Week 14",,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,19,,,,16,,,,,,,,,,24,,,,,21,,,,,20,,,,,,,,
"Texas A&M","8-4",33,"Week 14",,,,25,18,,,,,,,,,,,19,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,19,,,,,,,,,,,,,,24,21,
"Air Force","9-3",22,"Week 14",,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,25,,,,25,,20,,,,19,,,,,,,,,,,,,,23,,,,,,,25,
"Temple","9-3",21,"Week 14",,,,,,,,24,,,,,,,,,,,,,,,,,,21,,,,,,,,22,23,,,,,,,,,,20,,,,,25,,,,,,,,,,,,
"Tennessee","8-4",12,"Week 14",,,,,20,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Troy","9-2",7,"Week 14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,
"Miami","8-4",5,"Week 14",,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia Tech","8-4",2,"Week 14",,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
"Tulsa","9-3",1,"Week 14",,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
