"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Clemson","14-1",1500,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Alabama","14-1",1440,16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"USC","10-3",1292,16,3,5,3,4,3,3,3,4,5,5,3,5,3,3,6,3,3,3,3,6,3,4,5,4,4,7,3,6,3,5,6,5,5,3,3,3,3,6,7,5,3,4,6,4,4,5,6,3,3,3,5,6,5,6,3,5,8,5,9,6,6
"Washington","12-2",1277,16,4,3,4,3,6,6,6,5,6,3,6,4,5,4,4,6,4,6,6,3,6,6,10,10,6,3,5,3,4,3,5,3,7,5,6,6,4,3,3,3,4,3,3,6,6,4,3,5,5,6,4,3,3,3,4,3,10,6,5,3,3
"Oklahoma","11-2",1252,16,5,7,6,5,10,5,4,3,4,6,5,3,4,6,5,5,9,4,4,5,7,3,4,3,3,5,4,5,5,7,4,9,3,9,7,5,7,4,5,7,6,7,5,3,8,3,5,4,7,4,3,5,4,5,6,6,3,4,4,5,5
"Ohio State","11-2",1240,16,6,4,5,7,5,4,5,6,3,4,4,8,7,5,3,8,5,7,7,4,5,9,3,6,7,4,6,4,9,4,3,4,6,8,5,7,6,5,4,4,5,6,4,5,3,7,4,8,6,10,8,4,7,4,7,4,4,3,3,4,4
"Penn State","11-3",1130,16,7,6,9,6,4,8,7,8,9,7,7,7,6,9,8,4,6,5,8,9,4,5,6,5,5,9,7,8,6,6,7,8,9,4,4,4,5,8,11,6,9,5,10,9,5,6,11,7,4,7,9,8,11,10,9,7,9,7,7,11,9
"Florida State","10-3",1105,16,8,9,7,8,7,9,8,7,7,8,9,6,8,7,9,7,8,9,5,7,8,7,8,7,8,8,8,7,7,9,9,6,8,7,8,9,10,7,9,8,7,8,7,7,9,8,9,6,8,5,7,7,6,8,5,9,5,9,6,9,7
"Wisconsin","11-3",1032,16,9,11,10,10,9,7,10,10,10,10,8,10,9,10,7,10,7,8,10,10,9,8,7,9,10,6,9,10,8,8,8,10,4,6,10,8,8,10,6,9,10,10,8,10,7,10,7,10,10,8,6,11,9,7,10,8,11,8,11,8,10
"Michigan","10-3",1001,16,10,10,8,9,8,10,9,9,8,9,10,9,10,8,10,9,10,10,9,8,11,10,9,8,9,10,10,9,10,10,11,7,11,10,9,11,9,9,10,11,8,9,9,8,11,9,10,9,9,11,13,9,8,9,8,10,7,10,10,7,8
"Oklahoma State","10-3",920,16,11,8,11,11,11,12,12,11,11,11,11,11,11,11,11,11,13,11,11,11,10,11,12,11,11,11,11,12,11,11,10,11,10,11,12,10,11,11,8,10,11,12,11,11,10,11,8,11,11,9,10,10,10,11,12,11,6,11,8,10,11
"Stanford","10-3",730,16,12,15,14,17,13,14,15,12,14,12,12,12,12,12,12,20,11,12,15,19,15,14,14,19,14,12,13,13,12,18,15,14,13,12,14,14,13,13,12,12,14,13,15,12,18,14,13,12,15,12,11,17,12,12,14,13,15,12,19,16,12
"LSU","8-4",651,16,13,19,12,12,18,17,17,14,17,15,15,13,13,14,,12,15,15,13,15,14,12,11,14,13,15,14,11,14,14,16,13,12,14,19,20,19,17,15,20,15,15,19,20,20,13,17,14,12,14,,12,13,13,11,12,16,14,16,13,15
"Florida","9-4",640,16,14,18,15,13,17,19,16,13,16,13,13,15,15,15,20,16,21,17,12,14,16,13,13,12,12,14,12,16,16,13,13,18,16,13,16,17,16,15,13,19,12,14,14,19,15,16,16,13,21,17,19,19,16,15,19,16,13,17,12,12,14
"Western Michigan","13-1",619,16,15,13,16,14,14,11,11,19,12,17,16,14,17,13,14,14,12,13,18,16,12,23,17,16,22,16,19,18,15,17,18,17,21,16,11,12,14,14,17,14,18,11,13,16,17,12,12,25,14,13,12,20,18,17,20,17,12,19,18,17,17
"Virginia Tech","10-4",610,16,16,17,20,19,16,20,18,15,15,21,14,19,14,16,17,18,16,14,19,12,13,15,15,21,16,13,15,14,13,16,12,19,15,,15,13,12,12,14,13,13,16,23,13,16,15,15,15,16,15,16,13,15,14,22,14,14,16,20,14,13
"Colorado","10-4",585,16,17,12,13,16,12,18,19,17,13,14,17,17,18,19,16,17,14,16,14,18,23,17,16,13,18,22,16,15,19,15,14,16,14,15,13,16,15,16,18,15,17,21,12,21,12,21,18,18,13,16,14,16,20,16,13,15,18,18,13,21,16
"West Virginia","10-3",368,16,18,20,22,,,21,13,16,21,18,19,18,20,,15,25,24,22,20,17,19,24,21,18,21,19,21,19,22,23,20,22,17,22,21,19,18,21,21,16,20,22,17,14,23,20,19,23,24,20,18,15,17,20,,18,17,15,15,18,18
"South Florida","11-2",358,16,19,14,17,23,22,13,14,18,18,22,23,24,16,20,13,13,20,20,23,20,17,21,18,,24,20,17,25,17,21,,,19,,23,15,20,19,19,21,16,18,16,15,25,22,20,22,18,18,,22,14,23,25,19,23,20,24,23,20
