"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","gary-horowitz","gary-smits","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","ngozi-ekeledo","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","1-0",1518,"Week 2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1
"Clemson","1-0",1416,"Week 2",2,4,3,2,4,2,3,3,2,3,3,3,3,2,3,5,2,2,3,2,3,4,3,4,3,2,2,2,1,2,2,4,3,6,2,3,2,4,2,3,1,2,3,2,2,4,2,5,2,4,4,2,2,2,3,4,2,3,2,2,2,4
"Florida State","1-0",1413,"Week 2",3,2,2,3,3,4,2,2,3,2,2,2,2,3,1,4,6,3,2,5,2,2,2,2,1,3,3,3,4,3,3,3,2,2,3,2,3,2,3,2,3,4,2,3,3,3,6,2,3,2,1,4,4,3,1,2,3,6,6,3,4,2
"Ohio State","1-0",1324,"Week 2",4,5,4,4,5,3,4,5,4,5,5,5,4,5,5,2,3,4,4,4,6,3,4,5,4,7,4,4,3,4,5,9,5,5,4,5,4,3,4,6,6,5,5,4,4,2,5,3,4,5,3,3,3,4,7,3,4,5,3,4,3,3
"Michigan","1-0",1261,"Week 2",5,6,6,5,6,5,6,8,5,7,4,4,5,4,4,6,8,5,5,6,4,5,5,3,5,4,5,6,6,6,4,10,4,4,5,6,7,6,6,4,7,3,4,5,5,8,3,6,5,6,7,6,5,5,6,6,5,1,5,6,5,6
"Houston","1-0",1243,"Week 2",6,3,5,8,2,6,5,4,8,4,6,7,6,6,6,3,4,6,6,3,5,6,8,7,9,5,6,5,5,5,6,5,6,3,6,4,6,5,7,7,4,7,6,6,10,5,4,4,7,3,5,8,7,7,4,7,7,4,7,5,7,5
"Stanford","1-0",1140,"Week 2",7,7,7,6,9,9,7,9,6,6,7,6,7,7,8,9,5,7,8,9,7,7,6,6,6,6,7,8,11,7,7,13,7,7,7,7,5,7,5,5,5,6,7,7,7,10,10,7,6,8,6,5,6,6,5,24,6,11,4,7,6,7
"Washington","1-0",884,"Week 2",8,15,10,22,14,13,12,11,12,11,11,15,15,9,10,10,9,17,13,11,9,11,15,9,11,8,8,7,10,8,8,12,23,8,11,9,17,11,9,15,14,13,9,9,8,21,8,8,8,13,8,19,12,12,11,5,9,12,8,12,16,8
"Georgia","1-0",877,"Week 2",9,16,9,17,10,7,10,14,20,10,10,14,12,8,19,7,7,12,10,7,13,9,7,15,7,11,11,11,7,21,12,18,22,13,8,13,8,13,17,10,8,8,8,23,14,6,7,9,9,12,12,14,10,21,10,8,14,9,13,9,11,9
"Wisconsin","1-0",759,"Week 2",10,8,13,24,7,10,9,7,18,16,17,23,8,11,13,8,13,8,7,8,14,24,12,12,16,10,24,21,12,15,9,7,8,11,9,11,16,22,10,18,11,19,18,13,9,7,18,12,13,9,18,16,20,16,15,11,24,8,15,17,8,21
