"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Alabama","2-0",1520,"Week 3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1
"Florida State","2-0",1437,"Week 3",2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,4,5,2,2,2,4,2,2,3,1,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,5,2,2,1,4,4,3,1,2,2,3,6,2,3,2
"Ohio State","2-0",1359,"Week 3",3,5,3,3,4,2,3,4,4,4,4,3,4,5,5,2,2,4,3,6,3,3,3,5,3,5,4,3,2,4,4,10,4,5,4,4,3,3,3,3,5,5,4,4,3,3,2,4,4,4,3,2,2,4,7,3,4,6,2,3,2,3
"Michigan","2-0",1298,"Week 3",4,6,5,4,5,5,6,8,5,7,3,4,5,4,4,6,6,5,4,4,5,4,4,2,4,3,5,5,6,6,5,11,3,4,5,5,5,5,4,6,3,6,2,3,4,4,4,2,5,5,7,6,5,5,4,4,5,1,5,6,5,4
"Clemson","2-0",1284,"Week 3",5,4,6,6,6,4,4,6,3,5,5,5,3,3,3,5,8,3,5,3,6,5,5,4,5,7,2,7,4,2,3,5,6,7,3,7,4,7,6,4,4,2,7,6,6,5,7,14,3,7,4,3,3,2,6,8,3,4,3,4,4,11
"Houston","2-0",1264,"Week 3",6,3,4,8,2,6,5,3,8,3,6,6,6,6,6,3,3,6,6,5,2,6,7,7,7,4,6,4,5,5,6,4,5,3,6,3,6,4,5,7,6,4,5,5,5,9,5,3,7,3,5,9,7,7,3,7,7,5,7,5,6,5
"Stanford","1-0",1137,"Week 3",7,7,7,5,13,10,7,9,6,6,7,7,7,7,7,9,4,7,8,7,8,7,6,6,6,6,7,8,10,7,7,13,7,8,7,6,7,6,8,5,7,7,6,7,9,6,10,10,6,8,6,5,6,6,5,22,6,7,4,7,7,7
"Washington","2-0",983,"Week 3",8,14,10,18,9,12,10,11,11,10,9,8,10,8,9,10,7,9,12,9,10,8,14,8,9,8,8,6,9,8,8,12,23,9,10,9,8,12,10,9,10,10,9,8,8,7,8,8,8,12,8,19,10,11,10,5,9,10,8,12,13,6
"Wisconsin","2-0",893,"Week 3",9,8,11,20,7,9,9,7,17,14,14,13,8,10,12,7,12,8,7,13,7,9,11,10,11,10,15,17,11,14,9,7,9,14,8,11,11,10,17,10,17,8,13,9,13,8,6,13,12,9,15,14,19,15,15,10,14,8,14,16,8,10
"Louisville","2-0",890,"Week 3",10,13,9,19,10,15,12,13,22,11,10,9,15,12,8,8,9,13,11,15,17,11,9,13,18,9,12,9,8,12,11,19,8,6,13,13,9,14,7,16,14,16,12,10,7,12,12,6,9,10,13,7,11,10,8,6,10,9,19,9,9,9
"Texas","2-0",872,"Week 3",11,9,12,21,8,14,8,5,13,9,15,10,9,11,17,19,17,10,9,11,13,12,12,11,10,11,18,11,7,13,13,2,12,10,9,12,10,8,14,13,16,11,14,16,10,14,9,11,11,6,14,13,17,13,11,13,16,12,11,10,10,8
"Michigan State","1-0",747,"Week 3",12,11,8,7,20,13,15,15,10,8,8,12,13,15,11,24,11,12,14,14,12,15,8,9,13,15,10,10,18,18,10,24,10,18,16,,13,15,9,15,9,17,17,11,22,10,17,,15,23,9,8,8,9,21,,11,11,12,8,12,12
"Iowa","2-0",694,"Week 3",13,16,13,12,14,19,14,22,21,19,11,18,12,13,10,17,23,15,17,8,14,14,10,14,20,14,14,14,13,11,12,23,17,19,11,8,15,13,12,8,13,18,20,12,21,17,11,9,10,20,12,11,21,16,17,9,13,14,13,17,14,14
