"Rank","Team","Record","Points","No. 1 Votes","PV Rank","Change","Hi/Low","Week"
"1","Alabama","2-0","1598","62","1","0","1/1",3
"2","Florida State","2-0","1490","1","3","1","2/4",3
"3","Clemson","2-0","1447","1","2","-1","2/3",3
"4","Ohio State","2-0","1440","0","4","0","4/5",3
"5","Michigan","2-0","1279","0","6","1","5/8",3
"6","Stanford","1-0","1257","0","5","-1","5/7",3
"7","Houston","2-0","1243","0","7","0","7/13",3
"8","Michigan State","1-0","1034","0","8","0","8/11",3
"9","Washington","2-0","945","0","11","2","9/18",3
"10","Louisville","2-0","894","0","15","5","10/23",3
"11","Iowa","2-0","875","0","10","-1","10/15",3
"12","Wisconsin","2-0","793","0","16","4","12/NR",3
"13","Georgia","2-0","777","0","9","-4","9/16",3
"14","Oklahoma","1-1","723","0","13","-1","3/14",3
"15","Tennessee","2-0","718","0","14","-1","10/15",3
"16","Texas","2-0","648","0","20","4","16/NR",3
"17","Mississippi","1-1","525","0","18","1","12/18",3
"18","Notre Dame","1-1","453","0","21","3","9/21",3
"19","Baylor","2-0","452","0","19","0","19/21",3
"20","Texas A&M","2-0","425","0","24","4","20/NR",3
"21","Oregon","2-0","403","0","23","2","21/23",3
"22","Louisiana State","1-1","318","0","22","0","6/22",3
"23","Florida","2-0","267","0","25","2","23/25",3
"24","Arkansas","2-0","170","0","32","8","24/NR",3
"25","Miami","2-0","137","0","26","1","25/NR",3
